  2ad988       16 リプレイを保存しました
  2ad9a0       2c タイトルに戻ります。リプレイを保存しますか？
  2ad9d0       2c セレクトへ戻ります。リプレイを保存しますか？
  2adb48       18 接続先を選択してください
  2adb78       24 使用するポート番号を入力してください
  2adba0       22 接続先のアドレスを入力してください
  2adbec       16 観戦を有効にしますか？
  2adc04        a 接続受付中
  2adc7c       3a ０１２３４５６７８９<br>▲<br>　　　.　　　.　　　.　　　:
  2adcb8       18 観戦を受け付けていません
  2adcd4       16 対戦が行われていません
  2adcec       12 接続に失敗しました
  2add00       10 すでに対戦中です
  2add14       1f すでに対戦中です 観戦しますか？
  2add34        6 接続中
  2add3c       10 対戦をしますか？
  2add51        c へ接続します
  2addb8       23 コンティニューしますか？   あと%d回
  2adddc       18 リプレイを保存しますか？
  2adefa       18 ？？？？？？？？</color>
  2adfd4        e 削除しますか？
  2adfe4       12 削除に失敗しました
  2adff8        c 削除しました
  2ae096       28 ？？？？？？？？？？？？？？？？</color>
  2ae1e4       2c 構築を終了します。編集内容をセーブしますか？
  2ae214       1a デッキが20枚ではありません
  2ae3c1       14 の作成に失敗しました
  2ae3d9        e を作成しました
  2ae3e8        e コピーしました
  2ae3f8       14 コピーに失敗しました
  2ae41c       18 名前の変更に失敗しました
  2ae438       12 名前を変更しました
  2ae44d       12 に上書きしますか？
  2ae461       12 をコピーしますか？
  2ae475       10 を削除しますか？
  2b06c3        9 潼bP?囮卆
  2b34e0        a 初期化失敗
  2b3514       12 東方緋想天 Ver1.06
  2b3540        a 東方緋想天
  2b57ee        4 勿薺
  2b74b1        7 ?>^ネ?
  2b7ff4        4 眷ぞ
  2b81b4        4 眷ぞ
  2b83cc        4 棧豼
  2b8473        5 牾`?
  2b848c        4 傭?
  2b84ac        4 菜?
  2b84ec        4 菜?
  2b850c        4 傭?
  2b8533        5 牾`?
  2b85cc        4 棧豼
  2b8944        4 眷ぞ
  2b8b04        4 眷ぞ
  2b8d1c        4 棧豼
  2b8dc3        5 牾`?
  2b8ddc        4 傭?
  2b8dfc        4 菜?
  2b8e3c        4 菜?
  2b8e5c        4 傭?
  2b8e83        5 牾`?
  2b8f1c        4 棧豼
  2b95c9        7 鋤$淌M=
  2b9788        8 ξ竦1w<=
  2b97e9        7 器,l磴=
  2b9819        7 胎｝nJ=
  2ba38a        6 裾!?=
  2bb179        7 赧蘖'E=
  2bb1ab        5 搆諭=
  2bb279        7 趣鑞s1=
  2bb2a8        8 査Ut２$=
  2bb35b        5 ??=
  2bb378        8 卯湫卿D=
  2bb3f8        8 ?C 枴8=
  2bb729        7 偶u薤:=
  2bb7ba        6 恬皖A=
  2bbcba        6 彌hU蠑
  2bc938        8 轌e釦?<
  2bcc6a        6 碚香2=
  2bced5        b 來?y7椪i9+=
  2bd701        7 ＦT1髜<
  2bdad2        6 汕.芽<
  2bdda2        6 轉#?<
  2be552        6 劼R蕀<
  2bff9b        4 ?÷
  2c0b5f       18 オブジェクトの作成に失敗
  2c0b88       18 キーボードの初期化に失敗
  2c0ba4       1e データフォーマットの設定に失敗
  2c0bc4       16 協調レベルの設定に失敗
  2c0bdc       14 デバイスの列挙に失敗
  2c0bf4       14 マウスの初期化に失敗
  2c0c0c       16 プロパティの設定に失敗
  2c0c68       1e ソケットの初期化に失敗しました
  2c0c8c        e に失敗しました
  2c0caf       18 オブジェクトの作成に失敗
  2c0cc8       1e ディスプレイモードの取得に失敗
  2c0ceb       14 デバイスの作成に失敗
  2c0d2e        c の取得に失敗
  2c0d50        c の取得に失敗
  2c0d6c       16 バッファのロックに失敗
  2c0d9b       18 オブジェクトの作成に失敗
  2c0dbf       1a オブジェクトの初期化に失敗
  2c0ddc       26 プライマリサウンドバッファの生成に失敗
  2c0e04       12 リスナの生成に失敗
  2c0e28       1e テンポラリバッファの生成に失敗
  2d8d3a        6 露煥終
  2daa39        b 覺?{<T??T?
  2e2280        4 ◆珱
  2e22fa        5 蠅陲[
  2e3279        7 禾8?虜
